name,sku,brand,category,description,price,stock,image
Bela,COL-ES06,Esika,perfume,Beautiful women's perfume with elegant florals and feminine musk.,19,3,Bela esika.jpg
Coconut Ocean,COL-ES07,Esika,perfume,Tropical splash with creamy coconut and fresh ocean breeze.,19,3,Coconut Ocean.jpg
Comando Force,COL-ES08,Esika,perfume,Powerful kids boy fragrance with intense spices and commanding woods.,19,4,Comando Force esika.jpg
Dorsay Class Para Hombre,COL-ES09,Esika,perfume,Sophisticated men's cologne with refined woods and classic elegance.,19,3,Dorsay Class Para Hombre.jpeg
Dorsay Class Yellow,COL-ES10,Esika,perfume,Yellow edition with bright citrus and sunny masculine notes.,19,3,Dorsay Class Para Hombre yellow.jpg
Dorsay Inspire Para Hombre,COL-ES11,Esika,perfume,Inspiring masculine scent with fresh aromatics and noble woods.,19,3,Dorsay Inspire esika.jpg
Expression,COL-ES12,Esika,perfume,Expressive women's perfume with bold florals and confident notes.,19,3,Expression esika.jpg
Expression Sense,COL-ES13,Esika,perfume,Sensual version with deeper florals and intimate musk.,19,3,Expression Sense esika.jpg
Fantasia Azul Infinito,COL-ES14,Esika,perfume,Dreamy blue floral with infinite sky notes and soft sweetness.,19,3,Fantasia Azul Infinito esika.png
Femme Magnat,COL-ES15,Esika,perfume,Feminine counterpart with elegant florals and refined sophistication.,19,3,Femme Magnat.jpg
Grazzia Rosado,COL-ES16,Esika,perfume,Romantic pink floral with soft roses and delicate femininity.,19,3,Grazzia Rosado.jpg
Impredecible Deep Rose,COL-ES17,Esika,perfume,Deep rose feminine scent with intense floral and mysterious depth.,19,3,Impredecible Deep Rose.jpg
Impredecible Mysterious,COL-ES18,Esika,perfume,Enigmatic women's fragrance with intriguing dark florals.,19,3,Impredecible Mysterious.jpg
Impredecible Para Mujer,COL-ES19,Esika,perfume,Unpredictable feminine perfume with changing floral facets.,19,3,Impredecible Para Mujer.jpg
Its You Emotion,COL-ES20,Esika,perfume,Emotional women's scent with heartfelt florals and touching notes.,19,3,Its You Emotion.jpg
Its You Live,COL-ES21,Esika,perfume,Lively feminine fragrance with vibrant energy and joyful notes.,19,3,Its You Live.jpg
Its You Since 1997,COL-ES22,Esika,perfume,Iconic women's perfume with timeless elegance since 1997.,19,6,Its You Since 1997 esika.jpg
Its You Travel,COL-ES23,Esika,perfume,Travel-inspired scent with adventurous florals and exotic notes.,19,3,Its You Travel.jpg
Limage,COL-ES24,Esika,perfume,Sophisticated women's fragrance with refined French elegance.,19,3,Limage esika.jpg
Magnat Para Hombre,COL-ES25,Esika,perfume,Distinguished men's cologne with powerful woods and authority.,19,3,Magnat esika.jpg
Magnat Select,COL-ES26,Esika,perfume,Select edition with premium woods and exclusive sophistication.,19,3,Magnat Select esika.jpg
Men Extreme,COL-ES27,Esika,perfume,Extreme men's fragrance with bold intensity and powerful notes.,19,3,Men Extreme.jpg
Mia,COL-ES28,Esika,perfume,Personal feminine scent with intimate florals and soft embrace.,19,3,Mia.jpg
Mia Sensual Night,COL-ES29,Esika,perfume,Sensual evening version with seductive florals and night mystery.,19,3,Mia Sensual Night esika.png
Mini Chics Kelly Tech,COL-ES30,Esika,perfume,Young tech-inspired fragrance with modern fresh notes.,19,3,Mini Chics Kelly Tech.jpg
Mini Chics Ruby Divina,COL-ES31,Esika,perfume,Young divine scent with ruby red fruits and sweet charm.,19,3,Mini Chics Ruby Divina.jpg
Paradisso,COL-ES32,Esika,perfume,Paradise-inspired women's fragrance with tropical flowers and warmth.,19,3,Paradisso.jpg
Pulso Mini,COL-ES33,Esika,perfume,Mini pulse edition with energetic vibration and compact power.,19,3,pulso mini.jpg
Pulso Absolute,COL-ES34,Esika,perfume,Absolute version with intensified energy and powerful presence.,19,3,Pulso Absolute esika.jpg
Red Intense,COL-ES35,Esika,perfume,Intense red feminine fragrance with passionate notes and fire.,19,3,Red Intense esika.jpg
Red Power,COL-ES36,Esika,perfume,Powerful red men's scent with commanding strength and boldness.,19,3,Red power esika.png
Revolution Para Hombre,COL-ES37,Esika,perfume,Revolutionary men's fragrance with modern innovation and edge.,19,3,Revolution Para Hombre.jpg
Salvaje,COL-ES38,Esika,perfume,Wild men's cologne with untamed woods and fierce character.,19,3,Salvaje.jpg
Soleil Rose,COL-ES39,Esika,perfume,Sunny rose women's fragrance with bright citrus and warm radiance.,19,3,Soleil rose.jpg
Valentia,COL-ES40,Esika,perfume,Brave feminine scent with courageous florals and bold femininity.,19,3,Valentia.jpg
Vanilla Scent Para Mujer,COL-ES41,Esika,perfume,Pure vanilla women's fragrance with creamy sweetness and warmth.,19,3,Vanilla para mujer scent.jpg
Vanilla Para Hombre,COL-ES42,Esika,perfume,Men's vanilla cologne with warm spices and masculine sweetness.,19,3,Vanilla Para Hombre esika.jpg
Vibranza,COL-ES43,Esika,perfume,Vibrant women's perfume with energetic florals and lively spirit.,19,3,Vibranza esika.jpg
Vibranza Addiction,COL-ES44,Esika,perfume,Addictive version with irresistible notes and captivating allure.,19,3,Vibranza Addiction.jpg
Vibranza Blanc,COL-ES45,Esika,perfume,White floral version with pure blooms and pristine elegance.,19,3,Vibranza Blanc esika.jpg
Vibranza Iluminour,COL-ES46,Esika,perfume,Luminous edition with radiant florals and glowing warmth.,19,3,Vibranza Iluminour.jpg
Vivir,COL-ES47,Esika,perfume,Living women's fragrance celebrating life with joyful notes.,19,3,Vivir esika.jpg
Winner Max,COL-ES48,Esika,perfume,Maximum winner men's fragrance with peak performance notes.,19,3,Winner Max esika.jpg
Winner Sport,COL-ES49,Esika,perfume,Sporty men's fragrance with athletic freshness and victory notes.,19,3,Winner Sport esika.jpg
Winner Traxion,COL-ES50,Esika,perfume,Traction men's scent with grip power and unstoppable drive.,19,3,Winner Traxion.jpg
Aqua,COL-LB01,L'Bel,perfume,Fresh aquatic women's fragrance with pure water notes and clarity.,19,3,Aqua lbel.jpg
Bleu Femme,COL-LB02,L'Bel,perfume,Blue feminine fragrance with fresh marine and elegant notes.,19,3,Bleu Femme lbel.jpg
Bleu Femme Capri,COL-LB03,L'Bel,perfume,Capri edition with Italian coastal freshness and Mediterranean charm.,19,3,Bleu Femme Capri lbel.jpg
Bleu Intense,COL-LB04,L'Bel,perfume,Intense blue men's cologne with deep marine and powerful woods.,19,3,Bleu Intense lbel.jpg
Bleu Night,COL-LB05,L'Bel,perfume,Nocturnal blue fragrance with mysterious night notes and depth.,19,2,Bleu Night lbel.jpg
Body Spirit Passion,COL-LB06,L'Bel,perfume,Passionate body fragrance with spirited warmth and sensuality.,19,3,Body & Spirit Passion.jpg
Destine Budapest,COL-LB07,L'Bel,perfume,Destined Budapest with Hungarian elegance and romantic charm.,19,3,Destine Budapest lbel.jpg
Destine Florence,COL-LB08,L'Bel,perfume,Destined Florence with Italian artistry and Renaissance beauty.,19,3,Destine Florence lbel.jpg
Destine Vienna,COL-LB09,L'Bel,perfume,Destined Vienna with Austrian sophistication and classical grace.,19,3,Destine Vienna lbel.jpg
Devos Magnetic,COL-LB10,L'Bel,perfume,Magnetic men's cologne with attractive power and irresistible pull.,19,3,Devos Magnetic.jpg
Emouv,COL-LB11,L'Bel,perfume,Moving women's fragrance with emotional depth and touching notes.,19,3,Emouv lbel.jpg
Empire,COL-LB12,L'Bel,perfume,Imperial men's fragrance with royal authority and noble woods.,19,3,Empire lbel.jpg
Fleur Divine,COL-LB13,L'Bel,perfume,Divine floral women's perfume with heavenly blooms and grace.,19,3,Fleur Divine lbel.jpg
Fleur Icon,COL-LB14,L'Bel,perfume,Iconic floral with signature blooms and memorable elegance.,19,3,Fleur Icon lbel.jpg
Homme 033,COL-LB15,L'Bel,perfume,Men's cologne #033 with distinctive character and modern style.,19,3,Homme 033 L'Bel.jpg
Hypnotisant,COL-LB16,L'Bel,perfume,Hypnotizing women's fragrance with mesmerizing allure and spell.,19,3,Hypnotisant lbel.jpg
Id,COL-LB17,L'Bel,perfume,Identity fragrance with personal signature and unique character.,19,3,Id  L'Bel.jpg
Liasson,COL-LB18,L'Bel,perfume,Liaison women's scent with romantic connection and intimate bonds.,19,3,Liasson.jpg
Miss,COL-LB19,L'Bel,perfume,Miss women's fragrance with youthful charm and fresh femininity.,19,3,Miss lbel.jpg
Mithyka,COL-LB20,L'Bel,perfume,Mythical women's perfume with legendary elegance and timeless allure.,19,3,Mithyka lbel.jpg
Mithyka L'Encant,COL-LB21,L'Bel,perfume,Enchanted mythical version with magical charm and spellbinding beauty.,19,3,Mithyka L'Encant lbel.jpg
Mithyka Lumiere,COL-LB22,L'Bel,perfume,Luminous mythical version with radiant light and ethereal beauty.,19,3,Mithyka Lumiere lbel.jpg
Mon,COL-LB23,L'Bel,perfume,Personal feminine fragrance meaning mine with intimate possession.,19,3,Mon.jpg
Mon Pink,COL-LB24,L'Bel,perfume,Pink edition with playful femininity and rosy sweetness.,19,3,Mon pink.jpg
New Code,COL-LB25,L'Bel,perfume,Modern coded men's cologne with contemporary sophistication.,19,3,New Code lbel.jpg
New Code Red,COL-LB26,L'Bel,perfume,Red coded edition with passionate intensity and bold character.,19,3,New Code Red.jpg
Reve Sensuelle,COL-LB27,L'Bel,perfume,Sensual dream women's fragrance with seductive reverie and desire.,19,3,Reve Sensuelle lbel.jpg
Rose D'Amelie,COL-LB28,L'Bel,perfume,Amelie's rose with romantic pink blooms and French elegance.,19,3,Rose D'Amelie lbel.jpg
Satin Nude,COL-LB29,L'Bel,perfume,Nude satin women's scent with bare elegance and soft sensuality.,19,3,Satin Nude.jpg
Satin Rouge,COL-LB30,L'Bel,perfume,Red satin fragrance with luxurious passion and silky seduction.,19,3,Satin Rouge lbel.jpg
43N Paralel Para Hombre,COL-YB01,Yanbal,perfume,Men's cologne inspired by 43rd parallel with geographic freshness.,19,1,43N Paralel Para Hombre.jpg
Adrenaline Alegria Mujer,COL-YB02,Yanbal,perfume,Joyful adrenaline women's scent with happy energy and excitement.,19,3,Adrenaline Alegria Mujer.jpg
Adrenaline Hombre,COL-YB03,Yanbal,perfume,Men's adrenaline fragrance with rushing energy and thrill.,19,3,Adrenaline Hombre yanbal.jpg
Adrenaline Mujer Roja,COL-YB04,Yanbal,perfume,Red adrenaline women's edition with passionate intensity.,19,3,Adrenaline Mujer Roja.jpeg
Arom,COL-YB05,Yanbal,perfume,Aromatic men's cologne with herbal freshness and masculine herbs.,19,3,Arom.jpg
Arom Element,COL-YB06,Yanbal,perfume,Elemental aromatic with pure herbal essence and natural power.,19,3,Arom Element.jpg
Ccori Oro,COL-YB07,Yanbal,perfume,Golden Ccori with luxurious gold notes and radiant warmth.,19,3,Ccori Oro yanbal.jpg
Ccori Rose,COL-YB08,Yanbal,perfume,Rose Ccori with romantic pink florals and precious elegance.,19,3,Ccori Rose.jpg
Cielo,COL-YB09,Yanbal,perfume,Heavenly women's fragrance with sky-blue freshness and clouds.,19,3,Cielo yanbal.jpg
Dendur,COL-YB10,Yanbal,perfume,Ancient-inspired men's cologne with mysterious depth and power.,19,3,Dendur.jpg
Dulce Amistad,COL-YB11,Yanbal,perfume,Sweet friendship splash with caring warmth and tender notes.,19,3,Dulce Amistad.jpg
Evoluzion Hombre,COL-YB12,Yanbal,perfume,Evolution men's fragrance with progressive modernity and growth.,19,3,Evoluzion Hombre.jpg
Gaia,COL-YB13,Yanbal,perfume,Earth goddess women's perfume with natural beauty and grounding.,19,3,Gaia.jpg
Gaia Elixir,COL-YB14,Yanbal,perfume,Elixir of Gaia with concentrated earth essence and magic.,19,3,Gaia Elixir.jpg
Icono Para Mujer,COL-YB15,Yanbal,perfume,Iconic women's fragrance with signature elegance and status.,19,3,Icono Para Mujer yanbal.jpg
Liberatta,COL-YB16,Yanbal,perfume,Liberated women's scent with freedom independence and joy.,19,3,Liberatta yanbal.jpg
L'Essence,COL-YB17,Yanbal,perfume,Essential women's fragrance with pure concentrated elegance.,19,3,L'Essence.jpg
Musk Blanc,COL-YB18,Yanbal,perfume,White musk women's fragrance with clean softness and purity.,19,3,Musk Blanc.jpg
Ohm Azul,COL-YB19,Yanbal,perfume,Zen men's cologne with meditative calm and spiritual balance.,19,3,Ohm Azul.jpeg
Ohm Black,COL-YB20,Yanbal,perfume,Black Ohm with deeper meditation and powerful inner strength.,19,3,Ohm black.jpg
Ohm Soul,COL-YB21,Yanbal,perfume,Soul Ohm with spiritual depth and transcendent peace.,19,3,Ohm Soul.jpeg
Osadia,COL-YB22,Yanbal,perfume,Bold women's perfume with daring confidence and audacity.,19,0,Osadia yanbal.jpg
Osadia Infinita,COL-YB23,Yanbal,perfume,Infinite boldness with endless courage and limitless daring.,19,3,Osadia Infinita.jpg
Osadia Para Hombre,COL-YB24,Yanbal,perfume,Bold men's cologne with masculine audacity and courage.,19,3,Osadia Para Hombre yanbal.jpg
Solo,COL-YB25,Yanbal,perfume,Solo men's fragrance with independent character and self-assurance.,19,3,Solo.jpg
Soy Cool,COL-YB26,Yanbal,perfume,Cool youthful scent with relaxed freshness and casual vibe.,19,3,Soy Cool.jpg
Soy Sexy,COL-YB27,Yanbal,perfume,Sexy youthful fragrance with attractive confidence and allure.,19,3,Soy Sexy.jpg
Sprio Blue,COL-YB28,Yanbal,perfume,Blue Sprio with fresh aquatic energy and cool vibrancy.,19,3,Sprio Blue.jpg
Temptation Black Hombre,COL-YB29,Yanbal,perfume,Black temptation men's with dark seduction and mystery.,19,3,Temptation Black Hombre yanbal.jpg
Temptation Mujer,COL-YB30,Yanbal,perfume,Tempting women's fragrance with irresistible seduction.,19,3,Temptation Mujer.jpg
Temptation Para Hombre,COL-YB31,Yanbal,perfume,Tempting men's cologne with masculine seduction and allure.,19,3,Temptation para hombre.jpg
Viva Liberatta,COL-YB32,Yanbal,perfume,Lively liberated scent with joyful freedom and celebration.,19,3,Viva Liberatta.jpg
Xool,COL-YB33,Yanbal,perfume,Cool modern fragrance with fresh innovation and relaxed style.,19,3,Xool.jpg
Zentro Para Hombre,COL-YB34,Yanbal,perfume,Centered men's cologne with balanced harmony and focus.,19,2,Zentro Para Hombre yanbal.jpg
